coin,fundingRate,premium,time
NEAR,1.25e-05,0.00021781,2024-10-25 15:00:00.100000+00:00
MEME,1.25e-05,-2.896e-05,2024-10-25 15:00:00.100000+00:00
ORDI,1.25e-05,0.00014928,2024-10-25 15:00:00.100000+00:00
BADGER,1.25e-05,-3.175e-05,2024-10-25 15:00:00.100000+00:00
NEO,1.25e-05,3.68e-06,2024-10-25 15:00:00.100000+00:00
ZEN,1.25e-05,-6.792e-05,2024-10-25 15:00:00.100000+00:00
FIL,1.25e-05,-0.00011591,2024-10-25 15:00:00.100000+00:00
PYTH,1.25e-05,-4.721e-05,2024-10-25 15:00:00.100000+00:00
SUSHI,1.25e-05,9.541e-05,2024-10-25 15:00:00.100000+00:00
ILV,1.25e-05,0.00018642,2024-10-25 15:00:00.100000+00:00
IMX,1.25e-05,-9.979e-05,2024-10-25 15:00:00.100000+00:00
kBONK,3.115e-05,0.00074922,2024-10-25 15:00:00.100000+00:00
GMT,1.25e-05,1e-06,2024-10-25 15:00:00.100000+00:00
SUPER,1.25e-05,0.00039668,2024-10-25 15:00:00.100000+00:00
USTC,1.25e-05,-0.00018029,2024-10-25 15:00:00.100000+00:00
NFTI,0.0,0.0,2024-10-25 15:00:00.100000+00:00
JUP,-2.467e-05,-0.00069737,2024-10-25 15:00:00.100000+00:00
kLUNC,1.25e-05,1.662e-05,2024-10-25 15:00:00.100000+00:00
RSR,1.25e-05,-0.00020141,2024-10-25 15:00:00.100000+00:00
GALA,1.25e-05,-0.0003208,2024-10-25 15:00:00.100000+00:00
JTO,1.25e-05,0.00045964,2024-10-25 15:00:00.100000+00:00
NTRN,1.25e-05,4.795e-05,2024-10-25 15:00:00.100000+00:00
ACE,1.25e-05,-0.00010084,2024-10-25 15:00:00.100000+00:00
MAV,1.25e-05,-0.00017392,2024-10-25 15:00:00.100000+00:00
WIF,1.25e-05,0.00057244,2024-10-25 15:00:00.100000+00:00
CAKE,1.25e-05,3.716e-05,2024-10-25 15:00:00.100000+00:00
PEOPLE,1.25e-05,-4.418e-05,2024-10-25 15:00:00.100000+00:00
ENS,1.25e-05,0.00059245,2024-10-25 15:00:00.100000+00:00
ETC,1.25e-05,-4.795e-05,2024-10-25 15:00:00.100000+00:00
XAI,1.25e-05,0.00012436,2024-10-25 15:00:00.100000+00:00
MANTA,1.25e-05,0.00014562,2024-10-25 15:00:00.100000+00:00
UMA,1.25e-05,-9.454e-05,2024-10-25 15:00:00.100000+00:00
ONDO,1.25e-05,0.00049077,2024-10-25 15:00:00.100000+00:00
ALT,1.25e-05,-0.00028134,2024-10-25 15:00:00.100000+00:00
ZETA,1.25e-05,-0.0002916,2024-10-25 15:00:00.100000+00:00
DYM,1.25e-05,-0.00019099,2024-10-25 15:00:00.100000+00:00
MAVIA,1.25e-05,1.931e-05,2024-10-25 15:00:00.100000+00:00
W,1.25e-05,-3.881e-05,2024-10-25 15:00:00.100000+00:00
PANDORA,0.0,0.0,2024-10-25 15:00:00.100000+00:00
STRK,1.25e-05,0.00023678,2024-10-25 15:00:00.100000+00:00
PIXEL,1.25e-05,0.00010665,2024-10-25 15:00:00.100000+00:00
AI,1.25e-05,-1.101e-05,2024-10-25 15:00:00.100000+00:00
TAO,3.253e-05,0.00076027,2024-10-25 15:00:00.100000+00:00
AR,1.25e-05,0.00028629,2024-10-25 15:00:00.100000+00:00
MYRO,2.881e-05,0.00073044,2024-10-25 15:00:00.100000+00:00
kFLOKI,1.25e-05,0.00012323,2024-10-25 15:00:00.100000+00:00
BOME,1.25e-05,0.0002658,2024-10-25 15:00:00.100000+00:00
ETHFI,1.25e-05,-0.0002192,2024-10-25 15:00:00.100000+00:00
ENA,-2.693e-05,-0.00071541,2024-10-25 15:00:00.100000+00:00
MNT,1.25e-05,-2.131e-05,2024-10-25 15:00:00.100000+00:00
TNSR,1.25e-05,0.00013882,2024-10-25 15:00:00.100000+00:00
SAGA,1.25e-05,0.00023959,2024-10-25 15:00:00.100000+00:00
MERL,1.25e-05,1.158e-05,2024-10-25 15:00:00.100000+00:00
HBAR,1.25e-05,0.00015766,2024-10-25 15:00:00.100000+00:00
POPCAT,1.25e-05,0.00011794,2024-10-25 15:00:00.100000+00:00
OMNI,1.25e-05,0.00012029,2024-10-25 15:00:00.100000+00:00
EIGEN,1.25e-05,0.00010234,2024-10-25 15:00:00.100000+00:00
REZ,1.25e-05,-0.00020802,2024-10-25 15:00:00.100000+00:00
NOT,1.25e-05,0.00027514,2024-10-25 15:00:00.100000+00:00
TURBO,1.25e-05,-0.0001379,2024-10-25 15:00:00.100000+00:00
BRETT,1.25e-05,0.0001929,2024-10-25 15:00:00.100000+00:00
IO,1.25e-05,-0.00029675,2024-10-25 15:00:00.100000+00:00
ZK,1.25e-05,0.00046119,2024-10-25 15:00:00.100000+00:00
BLAST,1.25e-05,-1.47e-05,2024-10-25 15:00:00.100000+00:00
LISTA,1.25e-05,0.00014563,2024-10-25 15:00:00.100000+00:00
MEW,1.25e-05,0.00033604,2024-10-25 15:00:00.100000+00:00
RENDER,1.25e-05,0.00023516,2024-10-25 15:00:00.100000+00:00
kDOGS,1.863e-05,0.00064906,2024-10-25 15:00:00.100000+00:00
POL,1.25e-05,-8.87e-06,2024-10-25 15:00:00.100000+00:00
CATI,1.25e-05,-3.627e-05,2024-10-25 15:00:00.100000+00:00
CELO,1.25e-05,-0.00013346,2024-10-25 15:00:00.100000+00:00
HMSTR,1.25e-05,-7.9e-07,2024-10-25 15:00:00.100000+00:00
SCR,1.25e-05,0.00016243,2024-10-25 15:00:00.100000+00:00
NEIROETH,3.293e-05,0.00076342,2024-10-25 15:00:00.100000+00:00
kNEIRO,1.25e-05,-3.575e-05,2024-10-25 15:00:00.100000+00:00
GOAT,2.48e-05,0.00069839,2024-10-25 15:00:00.100000+00:00
MOODENG,8.429e-05,0.00117435,2024-10-25 15:00:00.100000+00:00
